,bid,size
2018-10-01 00:36:18.142000+00:00,26602.0,15.0
2018-10-01 00:36:23.398000+00:00,26601.0,30.0
2018-10-01 00:36:24.800000+00:00,26602.0,15.0
2018-10-01 00:36:25.501000+00:00,26601.0,31.0
2018-10-01 00:36:38.814000+00:00,26602.0,15.0
2018-10-01 00:38:21.496000+00:00,26603.0,15.0
2018-10-01 00:38:26.402000+00:00,26602.0,25.0
2018-10-01 00:38:29.557000+00:00,26601.0,31.0
2018-10-01 00:38:29.909000+00:00,26602.0,15.0
2018-10-01 00:39:05.683000+00:00,26603.0,15.0
2018-10-01 00:39:11.989000+00:00,26602.0,25.0
2018-10-01 00:39:23.201000+00:00,26603.0,15.0
2018-10-01 00:39:25.652000+00:00,26602.0,31.0
2018-10-01 00:39:48.083000+00:00,26601.0,30.0
2018-10-01 00:40:08.411000+00:00,26602.0,30.0
2018-10-01 00:40:12.969000+00:00,26603.0,15.0
2018-10-01 00:40:24.188000+00:00,26604.0,31.0
2018-10-01 00:40:32.599000+00:00,26605.0,15.0
2018-10-01 00:40:37.505000+00:00,26604.0,31.0
2018-10-01 00:40:37.854000+00:00,26605.0,15.0
2018-10-01 00:40:58.179000+00:00,26604.0,31.0
2018-10-01 00:41:06.595000+00:00,26603.0,31.0
2018-10-01 00:41:34.285000+00:00,26602.0,15.0
2018-10-01 00:41:35.688000+00:00,26601.0,30.0
2018-10-01 00:41:36.388000+00:00,26602.0,15.0
2018-10-01 00:41:42.695000+00:00,26603.0,15.0
2018-10-01 00:41:43.045000+00:00,26602.0,30.0
2018-10-01 00:41:59.872000+00:00,26603.0,15.0
2018-10-01 00:42:01.979000+00:00,26602.0,30.0
2018-10-01 00:42:42.989000+00:00,26601.0,30.0
2018-10-01 00:42:52.800000+00:00,26602.0,15.0
2018-10-01 00:42:57.004000+00:00,26601.0,31.0
2018-10-01 00:43:01.211000+00:00,26602.0,15.0
2018-10-01 00:43:05.066000+00:00,26601.0,31.0
2018-10-01 00:43:48.521000+00:00,26602.0,15.0
2018-10-01 00:45:29.226000+00:00,26603.0,15.0
2018-10-01 00:45:29.927000+00:00,26602.0,31.0
2018-10-01 00:46:17.235000+00:00,26603.0,15.0
2018-10-01 00:46:24.950000+00:00,26604.0,15.0
2018-10-01 00:46:49.831000+00:00,26605.0,15.0
2018-10-01 00:47:09.805000+00:00,26606.0,15.0
2018-10-01 00:47:10.155000+00:00,26605.0,31.0
