,ask,size
2018-10-01 00:08:21.055000+00:00,26598.0,12.0
2018-10-01 00:08:22.457000+00:00,26597.0,12.0
2018-10-01 00:08:27.719000+00:00,26598.0,10.0
2018-10-01 00:08:29.120000+00:00,26597.0,10.0
2018-10-01 00:08:36.486000+00:00,26596.0,10.0
2018-10-01 00:08:44.554000+00:00,26595.0,10.0
2018-10-01 00:08:52.264000+00:00,26596.0,10.0
2018-10-01 00:08:56.471000+00:00,26595.0,5.0
2018-10-01 00:08:57.525000+00:00,26596.0,10.0
2018-10-01 00:08:59.278000+00:00,26595.0,5.0
2018-10-01 00:09:00.331000+00:00,26596.0,10.0
2018-10-01 00:09:04.539000+00:00,26597.0,10.0
2018-10-01 00:09:10.149000+00:00,26598.0,12.0
2018-10-01 00:09:13.308000+00:00,26597.0,12.0
2018-10-01 00:09:21.374000+00:00,26598.0,12.0
2018-10-01 00:09:22.777000+00:00,26597.0,12.0
2018-10-01 00:09:26.637000+00:00,26598.0,12.0
2018-10-01 00:09:30.845000+00:00,26597.0,12.0
2018-10-01 00:09:43.130000+00:00,26595.0,12.0
2018-10-01 00:09:49.788000+00:00,26596.0,12.0
2018-10-01 00:09:54.345000+00:00,26595.0,12.0
2018-10-01 00:09:58.201000+00:00,26596.0,12.0
2018-10-01 00:10:00.304000+00:00,26597.0,12.0
2018-10-01 00:10:02.763000+00:00,26598.0,12.0
2018-10-01 00:10:07.674000+00:00,26599.0,12.0
2018-10-01 00:10:15.741000+00:00,26600.0,12.0
2018-10-01 00:10:34.332000+00:00,26599.0,12.0
2018-10-01 00:10:36.085000+00:00,26600.0,12.0
2018-10-01 00:11:03.798000+00:00,26601.0,12.0
2018-10-01 00:11:06.608000+00:00,26602.0,12.0
2018-10-01 00:11:10.116000+00:00,26603.0,12.0
2018-10-01 00:11:10.817000+00:00,26602.0,12.0
2018-10-01 00:11:11.522000+00:00,26603.0,12.0
2018-10-01 00:11:25.904000+00:00,26601.0,12.0
2018-10-01 00:11:26.257000+00:00,26600.0,12.0
2018-10-01 00:11:30.113000+00:00,26599.0,12.0
2018-10-01 00:11:32.918000+00:00,26598.0,12.0
2018-10-01 00:11:34.319000+00:00,26599.0,12.0
2018-10-01 00:11:38.525000+00:00,26600.0,12.0
2018-10-01 00:11:41.328000+00:00,26599.0,12.0
2018-10-01 00:11:54.647000+00:00,26597.0,5.0
2018-10-01 00:11:54.996000+00:00,26598.0,12.0
2018-10-01 00:11:57.099000+00:00,26599.0,12.0
2018-10-01 00:12:02.355000+00:00,26598.0,12.0
2018-10-01 00:12:06.559000+00:00,26599.0,12.0
2018-10-01 00:12:07.613000+00:00,26600.0,12.0
2018-10-01 00:12:07.964000+00:00,26601.0,12.0
2018-10-01 00:12:10.773000+00:00,26602.0,12.0
2018-10-01 00:12:17.087000+00:00,26603.0,12.0
2018-10-01 00:12:17.438000+00:00,26602.0,12.0
2018-10-01 00:12:19.190000+00:00,26603.0,12.0
2018-10-01 00:12:19.892000+00:00,26602.0,12.0
2018-10-01 00:12:20.243000+00:00,26601.0,12.0
2018-10-01 00:12:20.946000+00:00,26600.0,12.0
2018-10-01 00:12:22+00:00,26599.0,12.0
2018-10-01 00:12:23.051000+00:00,26600.0,12.0
2018-10-01 00:12:23.402000+00:00,26599.0,12.0
2018-10-01 00:12:25.854000+00:00,26598.0,12.0
2018-10-01 00:12:26.205000+00:00,26599.0,12.0
2018-10-01 00:12:26.555000+00:00,26598.0,12.0
2018-10-01 00:12:35.320000+00:00,26599.0,12.0
2018-10-01 00:12:41.282000+00:00,26598.0,12.0
2018-10-01 00:12:46.188000+00:00,26599.0,12.0
2018-10-01 00:12:48.644000+00:00,26598.0,12.0
2018-10-01 00:12:52.502000+00:00,26599.0,12.0
2018-10-01 00:12:52.852000+00:00,26598.0,12.0
2018-10-01 00:12:57.762000+00:00,26599.0,12.0
2018-10-01 00:13:00.917000+00:00,26600.0,12.0
2018-10-01 00:13:04.430000+00:00,26601.0,12.0
2018-10-01 00:13:28.279000+00:00,26602.0,12.0
2018-10-01 00:13:28.979000+00:00,26603.0,12.0
2018-10-01 00:13:31.432000+00:00,26602.0,12.0
2018-10-01 00:13:31.783000+00:00,26603.0,12.0
2018-10-01 00:13:37.047000+00:00,26602.0,12.0
2018-10-01 00:13:38.451000+00:00,26603.0,12.0
2018-10-01 00:13:44.762000+00:00,26602.0,12.0
2018-10-01 00:13:46.865000+00:00,26603.0,12.0
2018-10-01 00:13:59.493000+00:00,26604.0,12.0
2018-10-01 00:14:03.351000+00:00,26603.0,12.0
2018-10-01 00:14:06.157000+00:00,26602.0,12.0
2018-10-01 00:14:10.016000+00:00,26603.0,12.0
2018-10-01 00:14:14.577000+00:00,26604.0,12.0
2018-10-01 00:14:20.189000+00:00,26605.0,12.0
2018-10-01 00:14:23.346000+00:00,26604.0,12.0
2018-10-01 00:14:24.048000+00:00,26605.0,12.0
2018-10-01 00:14:33.168000+00:00,26604.0,12.0
2018-10-01 00:14:34.925000+00:00,26605.0,12.0
2018-10-01 00:14:35.275000+00:00,26604.0,12.0
2018-10-01 00:14:38.433000+00:00,26605.0,12.0
2018-10-01 00:14:39.483000+00:00,26604.0,12.0
2018-10-01 00:14:40.186000+00:00,26605.0,12.0
2018-10-01 00:14:47.201000+00:00,26604.0,12.0
2018-10-01 00:14:47.555000+00:00,26603.0,12.0
2018-10-01 00:14:59.133000+00:00,26602.0,12.0
2018-10-01 00:14:59.484000+00:00,26603.0,12.0
2018-10-01 00:15:00.186000+00:00,26602.0,12.0
2018-10-01 00:15:01.240000+00:00,26603.0,12.0
2018-10-01 00:15:19.125000+00:00,26604.0,12.0
2018-10-01 00:15:23.334000+00:00,26603.0,12.0
2018-10-01 00:15:33.849000+00:00,26601.0,5.0
2018-10-01 00:15:34.200000+00:00,26602.0,12.0
2018-10-01 00:15:34.550000+00:00,26603.0,12.0
2018-10-01 00:15:36.304000+00:00,26601.0,12.0
2018-10-01 00:15:39.106000+00:00,26600.0,12.0
